obs_wl_air,prev_obs,prev
4147.67,E15q-FeI,E15q
4163.68,E15q-FeI,E15q
4173.47,E15q-FeI,E15q
4217.55,E15q-FeI,E15q
4219.36,E15q-FeI,E15q
4238.81,E15q-FeI,E15q
4247.43,E15q-FeI,E15q
4250.12,E15q-FeI,E15q
4271.15,E15q-FeI,E15q
4274.8,E15q-CrI,E15q
4287.84,E15q-NaI,E15q
4290.23,Z20q-TiII/E15q-TiII/Z20o-TiII,Z20q/E15q/Z20o
4303.18,Z20q-FeII/E15q-FeII/Z20o-FeII,Z20q/E15q/Z20o
4312.87,Z20q-TiII/E15q-TiII,Z20q/E15q
4324.95,E15q-FeI/A17o-FeI,E15q/A17o
4367.66,E15q-TiII,E15q
4399.77,E15q-TiII,E15q
4415.12,E15q-FeI/A17o-FeI,E15q/A17o
4416.83,E15q-FeII,E15q
4442.34,E15q-FeI,E15q
4471.48,E15q-HeI,E15q
4491.4,Z20q-FeII/E15q-FeII/Z20o-FeII,Z20q/E15q/Z20o
4494.56,Z20q-FeI/E15q-FeI/Z20o-FeI,Z20q/E15q/Z20o
4541.51,E15q-CrI,E15q
4582.83,E15q-FeII,E15q
4589.95,Z20q-TiII/E15q-TiII/Z20o-TiII,Z20q/E15q/Z20o
4592.65,Z20q-FeI/E15q-FeI,Z20q/E15q
4616.63,Z20q-CrII/E15q-CrII,Z20q/E15q
4685.3,E15q-HeII,E15q
4713.15,E15q-HeI,E15q
4731.45,Z20q-FeII/E15q-FeII/Z20o-FeII/A17o-FeII,Z20q/E15q/Z20o/A17o
4876.47,E15q-CrII,E15q
5171.6,E15q-FeI,E15q
5266.56,E15q-FeI,E15q
5325.55,E15q-FeII,E15q
5425.26,Z20q-FeII/E15q-FeII/Z20o-FeII,Z20q/E15q/Z20o
5429.7,Z20q-FeI/E15q-FeI/Z20o-FeI,Z20q/E15q/Z20o
5528.4,E15q-MgI,E15q
5875.62,Z20q-HeI/E15q-HeI/Z20o-HeI,Z20q/E15q/Z20o
6147.73,E15q-FeII,E15q
6587.61,E15q-CI,E15q
4045.82,A17o-FeI,A17o
4063.55,A17o-FeI,A17o
4077.09,A17o-CrI,A17o
4207.13,A17o-FeI,A17o
4208.6,A17o-FeI,A17o
4215.42,A17o-FeI,A17o
4226.34,A17o-FeI,A17o
4258.61,A17o-FeI,A17o
4293.8,A17o-FeI,A17o
4325.74,A17o-FeI,A17o
4375.99,A17o-FeI,A17o
4383.55,A17o-FeI,A17o
4389.24,A17o-FeI,A17o
4390.59,A17o-MgII,A17o
4408.41,A17o-FeI,A17o
4428.0,A17o-INDEF,A17o
4482.17,A17o-FeI,A17o
4494.46,A17o-FeI,A17o
4529.47,Z20q-TiII/Z20o-TiII/A17o-TiII,Z20q/Z20o/A17o
4602.94,A17o-FeI,A17o
4772.8,A17o-FeI,A17o
4939.24,A17o-FeI,A17o
4939.69,Z20q-FeI:/Z20o-FeI:/A17o-FeI,Z20q/Z20o/A17o
4994.13,A17o-FeI,A17o
5012.07,A17o-FeI,A17o
5041.07,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5041.62,A17o-CaI,A17o
5041.76,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5051.63,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5060.03,A17o-FeI,A17o
5080.31,A17o-FeII,A17o
5083.34,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5110.36,A17o-FeI,A17o
5123.72,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5129.15,Z20q-TiII/Z20o-TiII/A17o-TiII,Z20q/Z20o/A17o
5151.9,A17o-FeI,A17o
5204.52,Z20q-CrI:/A17o-CrI,Z20q/A17o
5208.44,A17o-CrI,A17o
5227.15,A17o-FeI,A17o
5227.19,A17o-FeI,A17o
5247.05,Z20o-FeI/A17o-FeI,Z20o/A17o
5250.65,A17o-FeI,A17o
5254.95,A17o-FeI,A17o
5263.31,A17o-FeI,A17o
5267.2,A17o-FeI,A17o
5269.5,A17o-FeI,A17o
5298.27,A17o-CrI,A17o
5316.61,A17o-FeII,A17o
5332.9,A17o-FeI,A17o
5341.02,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5395.0,A17o-INDEF,A17o
5430.0,A17o-INDEF,A17o
