# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
O	1	"2026.46"	""	"4.85e+04"	D	"10.9888616"	"17.10517"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"2"	5	5		
Ni	1	"2026.588"	""	"2.4e+07"	C	"0.0000000"	"6.1159099"	"3d8.(3F).4s2"	"3F"	"4"	"3d9.(2D).5p"	"3D*"	"3"	9	7		
Co	2	"2027.04027"	"32000"	"8.7e+07"	B	"0.19802719"	"6.31257177"	"3d8"	"a 3F"	"2"	"3d7.(4F).4p"	"z 3F*"	"2"	5	5		
O	2	"2027.0978"	"10"	"1.27e+07"	C	"25.8487467"	"31.963118"	"2s2.2p2.(3P).3p"	"4P*"	"5/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"	6	4		
Cu	2	"2027.13416"	"610000"	"1.3e+08"	C	"8.42057990"	"14.53484133"	"3d9.4p"	"3P*"	"1"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"1"	3	3		
O	2	"2027.6014"	"10"	"2.34e+07"	C	"25.8373471"	"31.950200"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"	4	2		
Fe	2	"2027.77699"	"6000"	"6.6e+06"	D+	"2.84411707"	"8.9564405"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3D).4p"	"w 4F*"	"5/2"	6	6		
Fe	2	"2028.57879"	"500"	"2.3e+06"	D	"7.4725712"	"13.5824790"	"3d5.4s2"	"c 4D"	"7/2"	"3d6.(3P2).5p"	"4D*"	"7/2"	8	8		
O	2	"2028.727"	""	"2.26e+06"	D	"26.358274"	"32.467735"	"2s.2p4"	"2P"	"3/2"	"2s2.2p2.(3P).5p"	"2D*"	"5/2"	4	6		
V	2	"2028.8715"	"1800"	"8.e+06"	D+	"4.7755099"	"10.8845363"	"3d2.4s2"	"e 3F"	"4"	"3d2.(1G).4s.4p.(3P*)"	"r 3F*"	"4"	9	9		
Fe	2	"2029.18366"	"8000"	"6.0e+06"	D+	"1.96448604"	"8.0725728"	"3d7"	"a 2G"	"9/2"	"3d6.(3F2).4p"	"y 2G*"	"7/2"	10	8		
Ni	1	"2029.27"	""	"2.3e+06"	C	"0.1090833"	"6.21691"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).5p"	"*"	"3"	5	7		
Cu	2	"2029.94908"	"560000"	"8.0e+07"	B	"8.23486741"	"14.34065139"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[3/2]"	"1"	5	3		
Ni	1	"2030.187"	""	"1.7e-01"	E	"0.2748172"	"6.3798859"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"0"	5	1	E2	
B	2	"2030.36"	""	"1.22e+07"	C	"17.852479"	"23.95703"	"1s2.2s.3p"	"3P*"	"0"	"1s2.2p.3p"	"3S"	"1"	1	3		
B	2	"2030.38"	""	"3.66e+07"	C	"17.852554"	"23.95703"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2p.3p"	"3S"	"1"	3	3		
B	2	"2030.53"	""	"6.09e+07"	B	"17.852994"	"23.95703"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2p.3p"	"3S"	"1"	5	3		
Co	2	"2030.64645"	"280"	"1.7e+06"	D	"3.11785953"	"9.22154694"	"3d7.(2G).4s"	"b 1G"	"4"	"3d7.(2H).4p"	"y 1H*"	"5"	9	11		
Cu	2	"2031.03598"	"2700000"	"4.5e+08"	B	"8.23486741"	"14.33738437"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[3/2]"	"2"	5	5		
Fe	2	"2032.00169"	"2600"	"1.1e+07"	D+	"3.33923354"	"9.4388507"	"3d6.(3P2).4s"	"b 2P"	"1/2"	"3d6.(1S2).4p"	"x 2P*"	"3/2"	2	4		
Fe	2	"2032.40945"	"33000"	"2.7e+07"	D+	"2.02954815"	"8.1279417"	"3d7"	"a 2G"	"7/2"	"3d6.(3H).4p"	"z 2H*"	"9/2"	8	10		
Fe	2	"2032.62251"	"2100d?"	"1.1e+07"	D	"2.85551515"	"8.9532696"	"3d6.(3F2).4s"	"b 4F"	"3/2"	"3d6.(3D).4p"	"w 4P*"	"1/2"	4	2		
Be	1	"2032.602"	"9*"	"1.06e+06"	C	"2.724963"	"8.822779"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.6s"	"3S"	"1"	1	3		
Be	1	"2032.6274"	"9*"	"3.17e+06"	C	"2.7250394"	"8.822779"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.6s"	"3S"	"1"	3	3		
Be	1	"2032.7239"	"9*"	"5.3e+06"	C	"2.725329"	"8.822779"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.6s"	"3S"	"1"	5	3		
Co	2	"2032.71825"	"9800"	"3.9e+07"	D	"1.64411577"	"7.74158302"	"3d8"	"a 3P"	"2"	"3d7.(4P).4p"	"z 3S*"	"1"	5	3		
Ni	2	"2033.389"	""	"2.3e+06"	C	"1.156778"	"7.252234"	"3p6.3d8.(3F).4s"	"4F"	"7/2"	"3p6.3d8.(3F).4p"	"2F*"	"5/2"	8	6		
Ni	1	"2033.546"	""	"3.0e+06"	D	"0.1090833"	"6.2040690"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).5p"	"3F*"	"2"	5	5		
Fe	2	"2033.75166"	"2700bl(Fe II)*"	"1.8e+06"	D	"2.82812245"	"8.9224918"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3D).4p"	"w 4P*"	"5/2"	8	6		
Cu	2	"2033.84242"	"62000"	"8.9e+06"	C+	"8.52154401"	"14.61564148"	"3d9.4p"	"3F*"	"4"	"3d9.(2D<3/2>).4d"	"2[7/2]"	"4"	9	9		
Fe	2	"2034.07667"	"400"	"2.0e+06"	D	"6.72907574"	"12.8224715"	"3d5.4s2"	"b 4G"	"9/2"	"3d6.(5D<3>).4f"	"2[6]*"	"11/2"	10	12		
Fe	2	"2034.15495"	"500"	"1.5e+07"	D	"7.4867075"	"13.5798687"	"3d5.4s2"	"c 4D"	"1/2"	"3d6.(3P2).5p"	"4P*"	"1/2"	2	2		
Fe	2	"2034.44224"	"4000"	"6.e+06"	D	"2.85551515"	"8.9478161"	"3d6.(3F2).4s"	"b 4F"	"3/2"	"3d6.(3D).4p"	"w 4F*"	"3/2"	4	4		
Fe	2	"2034.61590"	"2500"	"1.6e+06"	D	"2.54377802"	"8.6355591"	"3d7"	"a 2D2"	"5/2"	"3d6.(3G).4p"	"y 2F*"	"5/2"	6	6		
K	2	"2034.671"	"5"	"8.81e+07"		"22.365844"	"28.457461"	"3p5.3d"	"3D*"	"2"	"3p5.(2P*<1/2>).4f"	"2[5/2]"	"2"	5	5		
K	2	"2035.413"	"50"	"1.20e+09"		"22.365844"	"28.455241"	"3p5.3d"	"3D*"	"2"	"3p5.(2P*<1/2>).4f"	"2[5/2]"	"3"	5	7		
O	2	"2035.801"	""	"3.73e+05"	E	"26.358274"	"32.446510"	"2s.2p4"	"2P"	"3/2"	"2s2.2p2.(3P).5p"	"2D*"	"3/2"	4	4		
Fe	2	"2035.85162"	"7000"	"3.2e+06"	D	"2.84411707"	"8.9322010"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3D).4p"	"w 4P*"	"3/2"	6	4		
Cu	2	"2035.85327"	"19000000"	"3.7e+08"	C+	"2.97541889"	"9.06349793"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"3D*"	"1"	3	3		
K	2	"2036.014"	"10"	"3.89e+05"		"22.365844"	"28.453444"	"3p5.3d"	"3D*"	"2"	"3p5.(2P*<1/2>).4f"	"2[7/2]"	"3"	5	7		
Fe	2	"2036.04851"	"1000"	"3.1e+06"	D	"7.12826481"	"13.2157601"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2D3).4s.4p.(3P*)"	"4P*"	"5/2"	4	6		
Fe	2	"2036.43626"	"28000"	"3.2e+07"	D+	"2.54377802"	"8.6301144"	"3d7"	"a 2D2"	"5/2"	"3d6.(3G).4p"	"y 2F*"	"7/2"	6	8		
Fe	2	"2036.50379"	"500"	"1.5e+07"	D	"7.4937341"	"13.5798687"	"3d5.4s2"	"c 4D"	"3/2"	"3d6.(3P2).5p"	"4P*"	"1/2"	4	2		
Co	2	"2036.58520"	"3900"	"9.0e+06"	C	"0.11782516"	"6.20371650"	"3d8"	"a 3F"	"3"	"3d7.(4F).4p"	"z 3G*"	"3"	7	7		
Cu	2	"2036.92001"	"730000"	"1.9e+08"	C	"8.53634465"	"14.62123579"	"3d9.4p"	"3P*"	"0"	"3d9.(2D<3/2>).4d"	"2[3/2]"	"1"	1	3		
K	2	"2037.001"	"45"	"6.74e+08"		"22.372812"	"28.457461"	"3p5.3d"	"3D*"	"1"	"3p5.(2P*<1/2>).4f"	"2[5/2]"	"2"	3	5		
Cu	2	"2037.12668"	"13000000"	"1.36e+08"	B	"2.83268156"	"8.91695547"	"3d9.4s"	"3D"	"2"	"3d9.4p"	"3D*"	"3"	5	7		
Mn	2	"2037.3039"	"500"	"1.4e+08"	D	"3.784458"	"9.868202"	"3d6"	"a 3H"	"6"	"3d5.(2I).4p"	"y 3H*"	"6"	13	13		
Fe	2	"2037.4468"	"600"	"4.0e+07"	D+	"6.8070159"	"12.8903340"	"3d6.(3P1).4s"	"c 2P"	"3/2"	"3d5.(4P).4s.4p.(3P*)"	"2S*"	"1/2"	4	2		
Mn	2	"2037.6474"	"400"	"1.2e+08"	D	"3.803774"	"9.886494"	"3d6"	"a 3H"	"5"	"3d5.(2I).4p"	"y 3H*"	"5"	11	11		
C	2	"2038.09"	""	"2.37e+06"	B	"22.898763"	"28.98015"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"5/2"	4	6		
Co	2	"2038.67321"	"5500"	"2.3e+07"	D	"1.66192399"	"7.74158302"	"3d8"	"a 3P"	"1"	"3d7.(4P).4p"	"z 3S*"	"1"	3	3		
Fe	2	"2039.52257"	"300"	"4.4e+06"	D	"7.4937341"	"13.5708617"	"3d5.4s2"	"c 4D"	"3/2"	"3d6.(3P2).5p"	"4P*"	"3/2"	4	4		
Fe	2	"2039.67081"	"1300"	"3.1e+06"	D	"2.85551515"	"8.9322010"	"3d6.(3F2).4s"	"b 4F"	"3/2"	"3d6.(3D).4p"	"w 4P*"	"3/2"	4	4		
Fe	2	"2039.69891"	"600"	"7.e+06"	D	"7.4942595"	"13.5708617"	"3d5.4s2"	"c 4D"	"5/2"	"3d6.(3P2).5p"	"4P*"	"3/2"	6	4		
B	2	"2039.842"	"40"	"1.91e+07"	C	"17.062984"	"23.139161"	"1s2.2s.3s"	"1S"	"0"	"1s2.2p.3s"	"1P*"	"1"	1	3		
Cr	2	"2039.91765"	"81"	"3.52e+06"		"0.00000000"	"6.07595067"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 4P*"	"3/2"	6	4		
Mn	2	"2039.9717"	"400*"	"1.2e+08"	D	"3.818225"	"9.894015"	"3d6"	"a 3H"	"4"	"3d5.(2I).4p"	"y 3H*"	"4"	9	9		
C	2	"2040.06"	""	"2.37e+06"	B	"22.898763"	"28.97428"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"3/2"	4	4		
Fe	2	"2040.68999"	"70000bl(Fe II)*"	"4.6e+07"	D+	"1.96448604"	"8.0381375"	"3d7"	"a 2G"	"9/2"	"3d6.(3F2).4p"	"y 2G*"	"9/2"	10	10		
C	2	"2041.00"	""	"2.36e+06"	B	"22.898763"	"28.97150"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"1/2"	4	2		
Co	2	"2041.11915"	"210"	"7.e+06"	D	"8.10960371"	"14.1819783"	"3d7.(2P).4p"	"z 3P*"	"2"	"3d7.(2D2).4d"	"1F"	"3"	5	7		
Ni	1	"2041.144"	""	"3.2e+06"	D	"0.2123957"	"6.2846957"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).5p"	"3D*"	"2"	3	5		
Co	2	"2041.96691"	"1100"	"3.8e+07"	D	"8.18514505"	"14.2549989"	"3d7.(2G).4p"	"z 1F*"	"3"	"3d7.(2D2).4d"	"1G"	"4"	7	9		
O	2	"2042.809"	""	"1.85e+06"	D	"26.379157"	"32.446510"	"2s.2p4"	"2P"	"1/2"	"2s2.2p2.(3P).5p"	"2D*"	"3/2"	2	4		
Fe	2	"2043.78230"	"9000"	"1.5e+07"	D+	"2.27642922"	"8.3408923"	"3d7"	"a 2P"	"3/2"	"3d6.(3F2).4p"	"y 2D*"	"3/2"	4	4		
Cu	2	"2043.80148"	"21000000"	"1.42e+08"	C+	"2.71881633"	"8.78322249"	"3d9.4s"	"3D"	"3"	"3d9.4p"	"1F*"	"3"	7	7		
Fe	2	"2044.12174"	"500"	"4.3e+06"	D	"7.12826481"	"13.1917210"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(4D).4s.4p.(3P*)"	"2P*"	"3/2"	4	4		
N	2	"2044.761"	""	"2.11e+07"	B	"21.599539"	"27.661100"	"2s2.2p.3p"	"1D"	"2"	"2s2.2p.6s"	"1P*"	"1"	5	3		
K	2	"2044.823"	"10"	"7.49e+07"		"22.393865"	"28.455241"	"3p5.3d"	"1F*"	"3"	"3p5.(2P*<1/2>).4f"	"2[5/2]"	"3"	7	7		
K	2	"2045.288"	"40"	"1.80e+09"		"22.393865"	"28.45387"	"3p5.3d"	"1F*"	"3"	"3p5.(2P*<1/2>).4f"	"2[7/2]"	"4"	7	9		
K	2	"2045.430"	"15"	"7.78e+07"		"22.393865"	"28.453444"	"3p5.3d"	"1F*"	"3"	"3p5.(2P*<1/2>).4f"	"2[7/2]"	"3"	7	7		
Fe	2	"2045.66248"	"900"	"4.0e+06"	D	"7.11806748"	"13.1769574"	"3d5.4s2"	"d 4P"	"5/2"	"3d5.(4F).4s.4p.(3P*)"	"6F*"	"5/2"	6	6		
Co	2	"2046.56103"	"2900"	"8.e+06"	D	"1.6853529"	"7.74158302"	"3d8"	"a 3P"	"0"	"3d7.(4P).4p"	"z 3S*"	"1"	1	3		
Co	2	"2046.6959"	"460"	"7.e+07"	D	"8.10960371"	"14.1654348"	"3d7.(2P).4p"	"z 3P*"	"2"	"3d7.(2D2).4d"	"3S"	"1"	5	3		
Fe	2	"2047.20466"	"1100"	"2.4e+07"	D+	"6.1380760"	"12.1924024"	"3d6.(3P1).4s"	"c 4P"	"3/2"	"3d5.(4P).4s.4p.(3P*)"	"4S*"	"3/2"	4	4		
Ni	1	"2047.343"	""	"1.8e+07"	C	"0.0253904"	"6.0793080"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).5p"	"1D*"	"2"	7	5		
Co	2	"2047.4620"	"2500"	"4.6e+08"	C+	"6.94441385"	"12.9979794"	"3d7.(4P).4p"	"z 5S*"	"2"	"3d7.(4P).4d"	"5P"	"3"	5	7		
Cu	2	"2047.67825"	"1300000"	"5.32e+08"	B+	"9.12471804"	"15.1776443"	"3d9.4p"	"1P*"	"1"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"0"	3	1		
Fe	2	"2047.71434"	"3100"	"5.6e+06"	D+	"3.19725263"	"9.2500722"	"3d6.(3P2).4s"	"b 2P"	"3/2"	"3d6.(3D).4p"	"x 2D*"	"5/2"	4	6		
Fe	2	"2048.48982"	"5000"	"4.8e+06"	D+	"2.57958587"	"8.6301144"	"3d7"	"a 2H"	"9/2"	"3d6.(3G).4p"	"y 2F*"	"7/2"	10	8		
C	2	"2048.497"	""	"1.10e+06"	B	"20.701286"	"26.751794"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).4p"	"4S"	"3/2"	2	4		
Co	2	"2048.9298"	"710"	"1.3e+07"	D	"7.98475087"	"14.0339805"	"3d7.(2G).4p"	"z 1G*"	"4"	""	"113191"	"3"	9	7		
Fe	2	"2049.04904"	"900"	"2.7e+06"	D+	"6.72393597"	"12.7728134"	"3d5.4s2"	"b 4G"	"11/2"	"3d6.(5D<4>).4f"	"2[7]*"	"13/2"	12	14		
Co	2	"2049.17338"	"880"	"4.8e+06"	C	"0.19802719"	"6.24653767"	"3d8"	"a 3F"	"2"	"3d7.(4F).4p"	"z 3F*"	"3"	5	7		
C	2	"2049.488"	""	"2.19e+06"	B	"20.704212"	"26.751794"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).4p"	"4S"	"3/2"	4	4		
Co	2	"2050.73601"	"1100"	"2.2e+05"	E	"0.11782516"	"6.16172739"	"3d8"	"a 3F"	"3"	"3d7.(4F).4p"	"z 3F*"	"4"	7	9		
Ni	1	"2050.831"	""	"7.6e+06"	E	"0.2123957"	"6.2560185"	"3d9.(2D).4s"	"3D"	"1"	"3d9.(2D).5p"	"1P*"	"1"	3	3		
Fe	2	"2051.03385"	"60000"	"3.7e+07"	D+	"2.02954815"	"8.0725728"	"3d7"	"a 2G"	"7/2"	"3d6.(3F2).4p"	"y 2G*"	"7/2"	8	8		
Co	2	"2051.34627"	"370"	"1.1e+07"	D	"3.02663766"	"9.0687421"	"3d7.(4P).4s"	"b 3P"	"0"	"3d7.(2D2).4p"	"x 3P*"	"1"	1	3		
C	2	"2051.380"	""	"3.28e+06"	B	"20.709789"	"26.751794"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).4p"	"4S"	"3/2"	6	4		
C	2	"2051.79"	""	"3.61e+07"	B	"22.527515"	"28.5683"	"2s.2p.(3P*).3p"	"4D"	"1/2"	"2s.2p.(3P*).5d"	"4F*"	"3/2"	2	4		
C	2	"2051.80"	""	"3.87e+07"	B	"22.529296"	"28.5701"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).5d"	"4F*"	"5/2"	4	6		
C	2	"2051.81"	""	"4.42e+07"	B	"22.532398"	"28.5732"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).5d"	"4F*"	"7/2"	6	8		
Ni	1	"2052.074"	""	"9.7e+06"	C	"0.0000000"	"6.0399629"	"3d8.(3F).4s2"	"3F"	"4"	"3d9.(2D).5p"	"3F*"	"4"	9	9		
C	2	"2052.18"	""	"5.16e+07"	B	"22.536907"	"28.57656"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).5d"	"4F*"	"9/2"	8	10		
Co	2	"2052.28585"	"210"	"1.0e+07"	D	"8.07807155"	"14.11741017"	"3d7.(2G).4p"	"y 3G*"	"4"	"3d7.(2H).4d"	"1H"	"5"	9	11		
Fe	2	"2052.28752"	"1500"	"3.0e+06"	D	"3.19725263"	"9.2365863"	"3d6.(3P2).4s"	"b 2P"	"3/2"	"3d6.(3D).4p"	"x 2D*"	"3/2"	4	4		
C	2	"2052.39"	""	"1.44e+07"	B	"22.529296"	"28.5683"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).5d"	"4F*"	"3/2"	4	4		
V	2	"2052.39556"	"2500"	"8.e+06"	D+	"2.49079909"	"8.5298149"	"3d3.(4P).4s"	"c 3P"	"1"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"2"	3	5		
Ni	1	"2052.434"	""	"3.2e+06"	C	"0.1651673"	"6.2040690"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).5p"	"3F*"	"2"	7	5		
C	2	"2052.86"	""	"1.25e+07"	B	"22.532398"	"28.5701"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).5d"	"4F*"	"5/2"	6	6		
Ni	2	"2053.293"	""	"2.5e+06"	B	"1.040711"	"7.077086"	"3p6.3d8.(3F).4s"	"4F"	"9/2"	"3p6.3d8.(3F).4p"	"2F*"	"7/2"	10	8		
C	2	"2053.34"	""	"7.34e+06"	B	"22.536907"	"28.5732"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).5d"	"4F*"	"7/2"	8	8		
C	2	"2053.45"	""	"1.03e+06"	B	"22.532398"	"28.5683"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).5d"	"4F*"	"3/2"	6	4		
Ni	1	"2053.91"	""	"7.5e+05"	D	"0.0000000"	"6.0345650"	"3d8.(3F).4s2"	"3F"	"4"	"3d9.(2D).5p"	"1F*"	"3"	9	7		
Co	2	"2054.0811"	"1000bl(Co I)"	"2.5e+06"	E	"6.94441385"	"12.9784750"	"3d7.(4P).4p"	"z 5S*"	"2"	"3d7.(2P).5s"	"3P"	"1"	5	3		
Co	2	"2054.15861"	"1800"	"5.1e+08"	C+	"6.94441385"	"12.9782472"	"3d7.(4P).4p"	"z 5S*"	"2"	"3d7.(4P).4d"	"5P"	"2"	5	5		
Cu	2	"2054.25263"	"810000"	"1.4e+08"	C	"8.66252610"	"14.69608333"	"3d9.4p"	"3F*"	"2"	"3d9.(2D<3/2>).4d"	"2[5/2]"	"2"	5	5		
C	2	"2054.39"	""	"4.97e+05"	B	"22.536907"	"28.5701"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).5d"	"4F*"	"5/2"	8	6		
Cu	2	"2054.41739"	"960000"	"6.7e+08"	C	"8.42057990"	"14.45365331"	"3d9.4p"	"3P*"	"1"	"3d9.(2D<5/2>).4d"	"2[1/2]"	"0"	3	1		
V	2	"2054.84865"	"25000"	"1.0e+08"	D+	"2.76157898"	"8.7933864"	"3d3.(2P).4s"	"a 1P"	"1"	"3d2.(3F).4s.4p.(3P*)"	"1D*"	"2"	3	5		
Cu	2	"2054.97836"	"18000000"	"1.65e+08"	C+	"2.83268156"	"8.86410828"	"3d9.4s"	"3D"	"2"	"3d9.4p"	"1D*"	"2"	5	5		
Fe	2	"2055.26768"	"28000"	"3.1e+07"	D+	"2.27642922"	"8.3070070"	"3d7"	"a 2P"	"3/2"	"3d6.(3F2).4p"	"y 2D*"	"5/2"	4	6		
Ni	1	"2055.489"	""	"3.3e+07"	C	"0.2748172"	"6.3047451"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).5p"	"3D*"	"1"	5	3		
Cr	2	"2055.59868"	"3200"	"1.22e+08"	B+	"0.00000000"	"6.02960685"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"7/2"	6	8		
Be	1	"2055.878"	"11*"	"2.28e+07"	B	"2.724963"	"8.753751"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.5d"	"3D"	"1"	1	3		
Be	1	"2055.904"	"11*"	"3.08e+07"	B	"2.7250394"	"8.753751"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"2"	3	5		
Be	1	"2055.904"	"11*"	"1.71e+07"	B	"2.7250394"	"8.753751"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"1"	3	3		
Be	1	"2056.003"	"13*"	"1.03e+07"	B	"2.725329"	"8.753751"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"2"	5	5		
Be	1	"2056.003"	"13*"	"1.14e+06"	B	"2.725329"	"8.753751"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"1"	5	3		
Be	1	"2056.004"	"13*"	"4.13e+07"	B	"2.725329"	"8.753747"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"3"	5	7		
Fe	2	"2056.76411"	"500?"	"3.6e+06"	D	"5.9109129"	"11.9371037"	"3d7"	"d 2D1"	"3/2"	"3d5.(4G).4s.4p.(3P*)"	"t 2F*"	"5/2"	4	6		
V	2	"2056.8382"	"2500D*"	"4.7e+06"	D+	"2.4991086"	"8.5250823"	"3d3.(4P).4s"	"c 3P"	"0"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"1"	1	3		
V	2	"2056.87021"	"2500D*"	"5.3e+06"	D+	"2.52221646"	"8.5480964"	"3d3.(4P).4s"	"c 3P"	"2"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"3"	5	7		
Fe	2	"2057.33246"	"10000"	"2.8e+06"	C+	"1.67061856"	"7.6951447"	"3d7"	"a 4P"	"5/2"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	6	8		
V	2	"2057.34824"	"4200"	"1.1e+07"	D+	"1.67907412"	"7.7035541"	"3d4"	"b 3F2"	"3"	"3d3.(2F).4p"	"w 3F*"	"3"	7	7		
Co	2	"2057.9409"	"1100"	"5.4e+08"	C+	"6.94441385"	"12.9671590"	"3d7.(4P).4p"	"z 5S*"	"2"	"3d7.(4P).4d"	"5P"	"1"	5	3		
Si	1	"2058.133"	""	"7.08e+07"	C	"0.7809579"	"6.8031408"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5s"	"1P*"	"1"	5	3		
V	2	"2058.34026"	"5200"	"1.2e+07"	D+	"1.68729343"	"7.7088703"	"3d4"	"b 3F2"	"4"	"3d3.(2F).4p"	"w 3F*"	"4"	9	9		
Co	2	"2058.41103"	"1300"	"7.e+07"	D	"7.98475087"	"14.0061207"	"3d7.(2G).4p"	"z 1G*"	"4"	"3d7.(2H).4d"	"1F"	"3"	9	7		
Co	2	"2058.81682"	"7900"	"9.7e+06"	B	"0.00000000"	"6.02018319"	"3d8"	"a 3F"	"4"	"3d7.(4F).4p"	"z 3G*"	"5"	9	11		
Fe	2	"2059.61760"	"3400"	"1.6e+07"	E	"7.4725712"	"13.4904140"	"3d5.4s2"	"c 4D"	"7/2"	"3d6.(3P2).5p"	"4P*"	"5/2"	8	6		
Ni	1	"2059.901"	""	"2.1e+07"	D	"0.0253904"	"6.0424059"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).5p"	"3P*"	"2"	7	5		
Ni	1	"2060.195"	""	"2.3e+07"	E	"0.1090833"	"6.1252392"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3P).4s.4p.(3P*)"	"3S*"	"1"	5	3		
Cr	2	"2061.57673"	"2500"	"1.19e+08"	B+	"0.00000000"	"6.01212482"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"5/2"	6	6		
Si	2	"2062.207"	""	"4.60e+06"	D	"8.121023"	"14.131312"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"3/2"	2	4		
Ni	1	"2062.347"	""	"4.6e+06"	E	"0.2748172"	"6.2846957"	"3d8.(3F).4s2"	"3F"	"2"	"3d9.(2D).5p"	"3D*"	"2"	5	5		
Cu	2	"2062.42011"	"1500000"	"1.7e+08"	C	"8.42057990"	"14.43024652"	"3d9.4p"	"3P*"	"1"	"3d9.(2D<5/2>).4d"	"2[5/2]"	"2"	3	5		
