# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
Cu	1	"2024.3383"	"7000a"	"9.8e+06"	B	"0.0000000"	"6.1227049"	"3d10.4s"	"2S"	"1/2"	"3d10.5p"	"2P*"	"3/2"	2	4		
C	2	"2024.783"	""	"1.28e+06"	B	"20.704212"	"26.825573"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).4p"	"4P"	"1/2"	4	2		
C	2	"2025.080"	""	"1.08e+06"	B	"20.709789"	"26.830251"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).4p"	"4P"	"5/2"	6	6		
Ni	1	"2025.389"	""	"2.3e+07"	D	"0.1651673"	"6.2846957"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).5p"	"3D*"	"2"	7	5		
Cu	2	"2025.48775"	"8100000"	"6.8e+07"	C+	"2.97541889"	"9.09464957"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"3D*"	"2"	3	5		
Cr	2	"2025.61870"	"57"	"2.11e+06"		"0.00000000"	"6.11883513"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"5/2"	6	6		
O	2	"2025.7048"	"5"	"4.70e+06"	C	"25.8316247"	"31.950200"	"2s2.2p2.(3P).3p"	"4P*"	"1/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"	2	2		
Co	2	"2025.75950"	"15000"	"2.03e+07"	C+	"0.00000000"	"6.11840992"	"3d8"	"a 3F"	"4"	"3d7.(4F).4p"	"z 3G*"	"4"	9	9		
Mg	1	"2025.8242"	"9g"	"6.12e+07"	B+	"0.0000000"	"6.1182146"	"2p6.3s2"	"1S"	"0"	"3s.4p"	"1P*"	"1"	1	3		
C	2	"2025.941"	""	"6.92e+05"	B	"20.709789"	"26.827650"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).4p"	"4P"	"3/2"	6	4		
O	1	"2026.43"	""	"2.82e+05"	C	"10.9887923"	"17.10517"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3D*"	"2"	3	5		
O	1	"2026.43"	""	"1.05e+05"	D	"10.9887923"	"17.10517"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3D*"	"1"	3	3		
O	1	"2026.46"	""	"3.70e+05"	C	"10.9888616"	"17.10517"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"3"	5	7		
O	1	"2026.46"	""	"1.92e+05"	D	"10.9888811"	"17.10517"	"2s2.2p3.(4S*).3p"	"3P"	"0"	"2s2.2p3.(2P*).3d"	"3D*"	"1"	1	3		
