w0,vel_diff,rv_wl,obs_wl_air,prev_obs,element,sp_num,intens,Aki,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,prev,rv_shift,vsini_shift,f0_flat,f0_data,SNR,multi,tar_inst,abs_vel_diff
5316.6,-1.6916305516697,5316.63,5316.62,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Fe,2,1200,390000,C,3.15276806,5.48413599,3d6.(3G).4s,a 4G,11/2,3d6.(5D).4p,z 4F*,9/2,12,10,,E12o/Z20q/E15q/Z20o/E12q,0.01,1.77,1.12416425812254,0.006652571134233,12.4090254128442,yes,EX_Lupi_all,1.6916305516697
5318,-115.520444149971,5320.05,5320.04,,Fe,1,191,150000,D,3.64164057,5.97150625,3d6.4s2,b 3D,3,3d5.(6S).4s2.4p,v 5P*,2,7,5,,,0.01,1.77,0.197126879779032,0.004181389215513,2.175974234244,yes,EX_Lupi_all,115.520444149971
5318,-116.083740311222,5320.06,5320.05,,V,2,,0.044,D,1.42765133,3.7575133,3d4,a 3P2,1,3d3.(2F).4s,c 3F,3,3,7,E2,,0.01,1.77,0.197126879779032,0.004181389215513,2.175974234244,yes,EX_Lupi_all,116.083740311222
5318,-124.532928621241,5320.21,5320.2,,N,2,,42000000,C+,27.974241,30.304034,2s.2p2.(4P).3p,5P*,2,2s.2p2.(4P).3d,5P,1,5,3,,,0.01,1.77,0.197126879779032,0.004181389215513,2.175974234244,yes,EX_Lupi_all,124.532928621241
5318,-153.819759758505,5320.73,5320.72,,S,2,24,79500000,C+,15.067802,17.397367,3s2.3p2.(1D).4s,2D,5/2,3s2.3p2.(1D).4p,2F*,7/2,6,8,,,0.01,1.77,0.197126879779032,0.004181389215513,2.175974234244,yes,EX_Lupi_all,153.819759758505
5318,-167.334828097147,5320.97,5320.96,,N,2,,25200000,C+,27.971269,30.300731,2s.2p2.(4P).3p,5P*,1,2s.2p2.(4P).3d,5P,2,3,5,,,0.01,1.77,0.197126879779032,0.004181389215513,2.175974234244,yes,EX_Lupi_all,167.334828097147
5362.9,1.67704489199322,5362.87,5362.86,E12q-FeII,Fe,2,700,15000000,B+,10.5027943,12.8141045,3d6.(5D).4d,e 6G,7/2,3d6.(5D<3>).4f,2[5]*,9/2,8,10,,E12q,0.01,1.79,0.46270858412068,0.005992032919816,5.10758328919293,yes,EX_Lupi_all,1.67704489199322
5534.8,-3.24986494325914,5534.86,5534.85,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Fe,2,150,30000,E,3.24468891,5.48413599,3d6.(3H).4s,b 2H,11/2,3d6.(5D).4p,z 4F*,9/2,12,10,,E12o/Z20q/E15q/Z20o/E12q/A17o,0.01,1.85,0.331313417957413,0.005242142855984,3.65718496504773,yes,EX_Lupi_all,3.24986494325914
5534.8,-5.4164024281986,5534.9,5534.89,,Fe,2,290,19700000,C+,10.5446893,12.7841142,3d6.(5D).4d,f 4D,3/2,3d6.(5D<4>).4f,2[1]*,3/2,4,4,,,0.01,1.85,0.331313417957413,0.005242142855984,3.65718496504773,yes,EX_Lupi_all,5.4164024281986
5875.6,-0.510232057572368,5875.61,5875.6,E12o-HeI/E12q-HeI,He,1,,1964100,AAA,20.96408720675,23.07365682165,1s.2p,3P*,2,1s.3d,3D,1,5,3,,E12o/E12q,0.01,1.96,2.67329515535416,0.014399287534228,29.509021728039,yes,EX_Lupi_all,0.510232057572368
5875.6,-1.02046237841423,5875.62,5875.61,,He,1,500*,17673000,AAA,20.96408720675,23.0736513414,1s.2p,3P*,2,1s.3d,3D,2,5,5,,,0.01,1.96,2.67329515535416,0.014399287534228,29.509021728039,yes,EX_Lupi_all,1.02046237841423
5875.6,-1.53069096248805,5875.63,5875.62,Z20q-HeI/E15q-HeI/Z20o-HeI,He,1,500*,17673000,AAA,20.96408720675,23.0736513414,1s.2p,3P*,2,1s.3d,3D,2,5,5,,Z20q/E15q/Z20o,0.01,1.96,2.67329515535416,0.014399287534228,29.509021728039,yes,EX_Lupi_all,1.53069096248805
5875.6,-2.04091780980269,5875.64,5875.63,,He,1,500*,29462000,AAA,20.9640966823,23.07365682165,1s.2p,3P*,1,1s.3d,3D,1,3,3,,,0.01,1.96,2.67329515535416,0.014399287534228,29.509021728039,yes,EX_Lupi_all,2.04091780980269
